filename,height,width,mean,std,min,max,pct_gt_1,pct_gt_5,pct_gt_10,timestamp,processed_at
3RIMG_25JAN2026_0045_L2B_IMC_V01R00.h5,2816,2805,0.02593904733657837,0.2906813621520996,0.0,38.50200653076172,0.6589921609139524,0.0706935666828715,0.009634277264624859,13710285.0,2026-02-14T17:47:08.162202
3RIMG_25JAN2026_0115_L2B_IMC_V01R00.h5,2816,2805,0.02348383702337742,0.27329304814338684,0.0,37.514835357666016,0.6209614527629234,0.06403439474963539,0.007760593906984282,13710315.0,2026-02-14T17:47:08.271734
3RIMG_25JAN2026_0145_L2B_IMC_V01R00.h5,2816,2805,0.024631967768073082,0.2931947708129883,0.0,37.07559585571289,0.6592453613676875,0.0722380894506563,0.010229298330902609,13710345.0,2026-02-14T17:47:08.383260
3RIMG_25JAN2026_0215_L2B_IMC_V01R00.h5,2816,2805,0.022893499583005905,0.28093424439430237,0.0,30.77831268310547,0.6216830740560687,0.0679590017825312,0.009570977151191056,13710375.0,2026-02-14T17:47:08.488803
3RIMG_25JAN2026_0245_L2B_IMC_V01R00.h5,2816,2805,0.02165648713707924,0.26929551362991333,0.0,21.448951721191406,0.5913876397666505,0.06588275806190245,0.008811375789985415,13710405.0,2026-02-14T17:47:08.595369
3RIMG_25JAN2026_0315_L2B_IMC_V01R00.h5,2816,2805,0.021353162825107574,0.27213698625564575,0.0,20.549741744995117,0.5721697253281478,0.06475601604278075,0.010077378058661482,13710435.0,2026-02-14T17:47:08.702905
3RIMG_25JAN2026_0345_L2B_IMC_V01R00.h5,2816,2805,0.021377241238951683,0.27668496966362,0.0,22.025102615356445,0.5635862299465241,0.06942756441419544,0.01121678010046994,13710465.0,2026-02-14T17:47:08.804358
3RIMG_25JAN2026_0415_L2B_IMC_V01R00.h5,2816,2805,0.020714230835437775,0.2834315598011017,0.0,56.43663787841797,0.539468886728245,0.06735132069356668,0.010014077945227679,13710495.0,2026-02-14T17:47:08.904921
3RIMG_25JAN2026_0445_L2B_IMC_V01R00.h5,2816,2805,0.020918400958180428,0.29739701747894287,0.0,50.157752990722656,0.538304164641063,0.07084548695511263,0.013128443526170798,13710525.0,2026-02-14T17:47:09.021473
3RIMG_25JAN2026_0515_L2B_IMC_V01R00.h5,2816,2805,0.02167440392076969,0.3211274743080139,0.0,47.15336990356445,0.5618138267703776,0.07122528763571544,0.016027588721438987,13710555.0,2026-02-14T17:47:09.123982
3RIMG_25JAN2026_0545_L2B_IMC_V01R00.h5,2816,2805,0.02154495008289814,0.3045693337917328,0.0,42.246788024902344,0.5745498095932589,0.06676895964997569,0.015128727110678983,13710585.0,2026-02-14T17:47:09.227706
3RIMG_25JAN2026_0615_L2B_IMC_V01R00.h5,2816,2805,0.02143648825585842,0.3118174374103546,0.0,45.02176284790039,0.5671690163668773,0.0668955598768433,0.015635128018149407,13710615.0,2026-02-14T17:47:09.330326
3RIMG_25JAN2026_0645_L2B_IMC_V01R00.h5,2816,2805,0.023511923849582672,0.3328574001789093,0.0,48.84062576293945,0.6289752471236428,0.07352941176470588,0.01987623561821423,13710645.0,2026-02-14T17:47:09.437843
3RIMG_25JAN2026_0715_L2B_IMC_V01R00.h5,2816,2805,0.024204347282648087,0.3255114257335663,0.0,50.22806167602539,0.6574476381461676,0.0726558701993194,0.020838397342408038,13710675.0,2026-02-14T17:47:09.542902
3RIMG_25JAN2026_0745_L2B_IMC_V01R00.h5,2816,2805,0.025829128921031952,0.3316952586174011,0.0,37.33589172363281,0.720899671852212,0.0725292699724518,0.020623176956733106,13710705.0,2026-02-14T17:47:09.649423
3RIMG_25JAN2026_0815_L2B_IMC_V01R00.h5,2816,2805,0.02555689588189125,0.31417256593704224,0.0,28.013517379760742,0.7338761951061417,0.06832614244044725,0.018432993031923514,13710735.0,2026-02-14T17:47:09.762179
3RIMG_25JAN2026_0845_L2B_IMC_V01R00.h5,2816,2805,0.025602193549275398,0.3185194134712219,0.0,30.17229652404785,0.7250268392480959,0.06899712364284556,0.01857225328147788,13710765.0,2026-02-14T17:47:09.871589
3RIMG_25JAN2026_0915_L2B_IMC_V01R00.h5,2816,2805,0.025378860533237457,0.30486536026000977,0.0,30.137802124023438,0.7456373561821422,0.06137578998541565,0.016027588721438987,13710795.0,2026-02-14T17:47:09.973130
3RIMG_25JAN2026_0945_L2B_IMC_V01R00.h5,2816,2805,0.02704676240682602,0.33409586548805237,0.0,32.17082214355469,0.7750972289742343,0.07023780586614811,0.018698853508345485,13710825.0,2026-02-14T17:47:10.081789
3RIMG_25JAN2026_1015_L2B_IMC_V01R00.h5,2816,2805,0.02685103379189968,0.35325145721435547,0.0,41.221458435058594,0.7470552787230595,0.07019982579808783,0.02114223788689029,13710855.0,2026-02-14T17:47:10.185476
3RIMG_25JAN2026_1045_L2B_IMC_V01R00.h5,2816,2805,0.025781914591789246,0.3263496458530426,0.0,50.4583854675293,0.7159875830497489,0.0660599983795171,0.018129152487441257,13710885.0,2026-02-14T17:47:10.287993
3RIMG_25JAN2026_1115_L2B_IMC_V01R00.h5,2816,2805,0.02680835872888565,0.3336504101753235,0.0,42.741966247558594,0.7287235658726301,0.07495999432830983,0.02088903743315508,13710915.0,2026-02-14T17:47:10.389557
3RIMG_25JAN2026_1145_L2B_IMC_V01R00.h5,2816,2805,0.02773478254675865,0.3759205639362335,0.0,42.99101257324219,0.7024666788202885,0.08603751417922541,0.02805461027386161,13710945.0,2026-02-14T17:47:10.491098
3RIMG_25JAN2026_1215_L2B_IMC_V01R00.h5,2816,2805,0.029054904356598854,0.39441564679145813,0.0,44.01505661010742,0.7202666707178739,0.09608957219251338,0.03387822070977151,13710975.0,2026-02-14T17:47:10.594826
3RIMG_25JAN2026_1245_L2B_IMC_V01R00.h5,2816,2805,0.03166281059384346,0.4453637897968292,0.0,51.41522979736328,0.7459032166585643,0.11558600713012478,0.04082857316480311,13711005.0,2026-02-14T17:47:10.698553
3RIMG_25JAN2026_1315_L2B_IMC_V01R00.h5,2816,2805,0.03264656290411949,0.4841362237930298,0.0,57.40380859375,0.7335090544482256,0.12233379922216821,0.04675346378220709,13711035.0,2026-02-14T17:47:10.803128
3RIMG_25JAN2026_1345_L2B_IMC_V01R00.h5,2816,2805,0.03924683853983879,0.6218162775039673,0.0,60.0,0.7936821422783991,0.15955426592124455,0.06543965726786583,13711065.0,2026-02-14T17:47:10.914651
3RIMG_25JAN2026_1415_L2B_IMC_V01R00.h5,2816,2805,0.04121238365769386,0.6857916712760925,0.0,60.0,0.8079499878463783,0.15738940204180846,0.07019982579808783,13711095.0,2026-02-14T17:47:11.023246
