filename,height,width,mean,std,min,max,pct_lt_220,pct_lt_240,pct_lt_260,timestamp,processed_at
3RIMG_24JAN2026_0615_L2B_OLR_V01R00.h5,2816,2805,-193.99366760253906,601.1666259765625,-999.0,352.96661376953125,49.65314069842813,54.90964541808459,62.451031032247606,13709175.0,2026-02-15T03:21:53.991520
3RIMG_24JAN2026_0645_L2B_OLR_V01R00.h5,2816,2805,-193.45826721191406,601.4071044921875,-999.0,353.1622314453125,49.55682324582726,54.82082269891427,62.25916838842976,13709205.0,2026-02-15T03:21:54.187412
3RIMG_24JAN2026_0715_L2B_OLR_V01R00.h5,2816,2805,-193.12380981445312,601.6944580078125,-999.0,347.64520263671875,49.43159030140982,54.70046386323124,62.11156518392481,13709235.0,2026-02-15T03:21:54.364421
3RIMG_24JAN2026_0745_L2B_OLR_V01R00.h5,2816,2805,-192.89373779296875,601.7473754882812,-999.0,343.8358459472656,49.47517875952034,54.762877775076966,62.144696463296064,13709265.0,2026-02-15T03:21:54.550687
3RIMG_24JAN2026_0815_L2B_OLR_V01R00.h5,2816,2805,-193.0997314453125,601.920654296875,-999.0,346.38031005859375,49.48791474234322,54.81022625992546,62.23721590909091,13709295.0,2026-02-15T03:21:54.734636
3RIMG_24JAN2026_0845_L2B_OLR_V01R00.h5,2816,2805,-193.1383819580078,601.9183959960938,-999.0,349.68792724609375,49.6045895114244,54.85884074704261,62.32520306676389,13709325.0,2026-02-15T03:21:54.914688
3RIMG_24JAN2026_0915_L2B_OLR_V01R00 (1).h5,2816,2805,-193.2549285888672,601.8016967773438,-999.0,354.6353454589844,49.77649995948793,55.008608815426996,62.46724852130935,13709355.0,2026-02-15T03:21:55.095337
3RIMG_24JAN2026_0915_L2B_OLR_V01R00.h5,2816,2805,-193.2549285888672,601.8016967773438,-999.0,354.6353454589844,49.77649995948793,55.008608815426996,62.46724852130935,13709355.0,2026-02-15T03:21:55.274252
3RIMG_24JAN2026_0945_L2B_OLR_V01R00.h5,2816,2805,-193.34014892578125,601.6873168945312,-999.0,355.3931884765625,49.95344909658078,55.19025482093664,62.62648628666343,13709385.0,2026-02-15T03:21:55.450875
3RIMG_24JAN2026_1015_L2B_OLR_V01R00.h5,2816,2805,-193.46044921875,601.3898315429688,-999.0,358.2507019042969,50.182633487279205,55.48144800275482,62.902449461189434,13709415.0,2026-02-15T03:21:55.643538
3RIMG_24JAN2026_1045_L2B_OLR_V01R00.h5,2816,2805,-193.98153686523438,601.0763549804688,-999.0,357.79351806640625,50.43161815345974,55.82951000648193,63.26526039134662,13709445.0,2026-02-15T03:21:55.825294
